Distributor	Catalog #	Manufacture	Product #	Description	Link	Qty	Unit	Unit price	Category1	Category2	Category3
Digikey	1568-1231-ND			K20 Teensy 3.2 Kinetis MCU 32-Bit ARM® Cortex®-M4 Embedded Evaluation Board	https://www.digikey.com/en/products/detail/sparkfun-electronics/DEV-13736/5721426?s=N4IgTCBcDaIIwFYBsAOAtHMBmOaByAIgAQgC6AvkA	1	ea	$22,50	development board	Teensy	
Digikey	1568-1443-ND			K64 Teensy 3.5 Kinetis MCU 32-Bit ARM® Cortex®-M4 Embedded Evaluation Board	https://www.digikey.com/en/products/detail/sparkfun-electronics/DEV-14055/6235191?s=N4IgTCBcDaIIwFYBsAOAtHALJgzGgcgCIgC6AvkA	1	ea	$26,25	development board	Teensy	
Digikey	ED10563-ND			"4 Position Wire to Board Terminal Block Horizontal with Board 0.100"" (2.54mm) Through Hole"	https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN04A150/1588864?s=N4IgTCBcDaIKIBECMAGArANgMwFoByCABCALoC%2BQA	10	ea	$0,97	Satellite Shield	block terminal	
Digikey	ED10566-ND			"8 Position Wire to Board Terminal Block Horizontal with Board 0.100"" (2.54mm) Through Hole"	https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN08A150/1588868?s=N4IgTCBcDaIKIBECMAGArANgwWgHIIAIQBdAXyA	10	ea	$1,79	Satellite Shield	block terminal	
Digikey	ED10567-ND			"10 Position Wire to Board Terminal Block Horizontal with Board 0.100"" (2.54mm) Through Hole"	https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN10A150/1588870?s=N4IgTCBcDaIKIBECMAGArANgOwFoByCIAugL5A	20	ea	$2,23	Satellite Shield	block terminal	
Digikey	399-4264-ND			0.1µF ±10% 50V Ceramic Capacitor X7R Radial	https://www.digikey.com/en/products/detail/kemet/C320C104K5R5TA/818040?s=N4IgTCBcDaIMwE4EFoAsYBsrkDkAiABCALoC%2BQA	2	ea	$0,15	Satellite Shield	capacitor	
Digikey	493-5922-1-ND			47µF 50V Aluminum Electrolytic Capacitors Radial, Can 2000 Hrs @ 85°C	https://www.digikey.com/en/products/detail/nichicon/UVR1H470MED1TD/3438488?s=N4IgTCBcDaICwE4DMBaArAsYUEYUDkAREAXQF8g	3	ea	$0,19	Satellite Shield	capacitor	
Digikey	RS1-04-G			4 Position Receptacle Connector Through Hole	https://www.digikey.com/en/products/detail/adam-tech/RS1-04-G/9829303	1	ea	$0,30	Satellite Shield	header	
Digikey	S1011EC-40-ND			"Connector Header Through Hole 40 position 0.100"" (2.54mm)"	https://www.digikey.com/en/products/detail/sullins-connector-solutions/PRPC040SAAN-RC/2775214?s=N4IgTCBcDaIMoEYAMCEFEDCBaALErAcgCIAEIAugL5A	1	ea	$0,66	Satellite Shield	header	
Digikey	S1131EC-40-ND			"40 Positions Header, Unshrouded, Breakaway Connector 0.100"" (2.54mm) Through Hole Gold"	https://www.digikey.com/en/products/detail/sullins-connector-solutions/PRPC040SACN-RC/2776066?s=N4IgTCBcDaIMoEYEGYEFEDCBaALABiwDkAREAXQF8g	1	ea	$0,99	Satellite Shield	header	
